"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web App Tests","SEARCH BOX TESTS","POSITIVE FLOW","3","3","1","0","0"
"Web App Tests","SOCIAL MEDIA TESTS","POSITIVE FLOW","0","0","4","0","0"
"Web App Tests","SEARCH BOX TESTS","NEGATIVE FLOW","0","0","1","0","0"
"Web App Tests","LOGIN TESTS","NEGATIVE FLOW","1","1","1","0","0"
"Web App Tests","REGISTRATION TESTS","POSITIVE FLOW","1","0","2","0","0"
"Web App Tests","REGISTRATION VALIDATORS TESTS","NEGATIVE FLOW","3","7","1","0","0"
"Web App Tests","REGISTRATION TESTS","NEGATIVE FLOW","1","2","1","0","0"
"Web App Tests","CUSTOMER SERVICE TESTS","POSITIVE FLOW","1","1","1","0","0"
"Web App Tests","CUSTOMER SERVICE TESTS","NEGATIVE FLOW","2","0","3","0","0"
"POC Tests","POC Tests","POC Tests","1","0","0","0","0"
"API Tests","HTTP Statuses","HTTP STATUSES","0","0","1","0","0"
"Web App Tests","LOGIN TESTS","POSITIVE FLOW","1","0","0","0","0"
"Web App Tests","SHOPPING TESTS","POSITIVE FLOW","2","0","0","0","0"
